,country,percent_urban_pop,gdp_per_capita
66,Afghanistan,24.803,1928.0
585,Albania,57.434,10032.0
844,Algeria,70.848,14004.0
1476,Angola,63.446,8689.0
2121,Argentina,91.503,19502.0
2380,Armenia,63.085,10042.0
3009,Australia,85.701,48357.0
3335,Austria,57.715,41294.0
3604,Azerbaijan,54.714,17460.0
4122,Bahrain,88.999,40483.0
4381,Bangladesh,34.308,3402.0
4640,Barbados,31.249,11849.0
4892,Belarus,77.181,18136.0
5160,Belgium,97.876,38569.0
5672,Benin,45.695,2055.0
6262,Bolivia,68.393,6200.0
6593,Bosnia and Herzegovina,47.173,9495.0
6852,Botswana,67.155,14805.0
7117,Brazil,85.77,15826.0
7712,Bulgaria,73.99,16373.0
7971,Burkina Faso,27.53,1450.0
8230,Burundi,12.078,694.0
8489,Cambodia,22.188,3086.0
8748,Cameroon,54.578,2778.0
9012,Canada,81.259,43619.0
9266,Cape Verde,64.3,6266.0
9705,Central African Republic,40.277,576.0
10118,Chad,22.515,2384.0
10449,Chile,87.36,21589.0
10713,China,55.5,12244.0
10996,Colombia,79.764,13218.0
11255,Comoros,28.47,1696.0
11495,Congo,65.543,6272.0
11826,Costa Rica,76.862,13677.0
12085,Cote d'Ivoire,49.444,3218.0
12344,Croatia,56.155,19698.0
12603,Cuba,76.896,7889.0
12937,Cyprus,66.946,24963.0
13196,Czechia,73.477,28194.0
13551,Democratic Republic of Congo,42.74,836.0
13810,Denmark,87.526,44635.0
14069,Djibouti,77.417,2941.0
14328,Dominica,69.579,9319.0
14582,Dominican Republic,78.566,13762.0
15089,Ecuador,63.398,10905.0
15348,Egypt,42.785,11159.0
15611,El Salvador,69.7,8109.0
15879,Equatorial Guinea,70.616,37822.0
16398,Estonia,68.416,24493.0
16657,Eswatini,23.3,7969.0
16916,Ethiopia,19.428,1553.0
17909,Finland,85.225,36836.0
18247,France,79.655,36827.0
19190,Gabon,88.118,18389.0
19449,Gambia,59.228,1786.0
19708,Georgia,57.448,10603.0
19976,Germany,77.2,44293.0
20228,Ghana,54.086,3809.0
20559,Greece,78.046,22442.0
21378,Guatemala,49.971,7138.0
21638,Guinea,35.141,1364.0
21897,Guinea-Bissau,42.123,1393.0
22415,Haiti,52.427,1742.0
22750,Honduras,55.165,4706.0
23009,Hong Kong,100.0,47777.0
23268,Hungary,70.5,22788.0
23527,Iceland,93.7,39727.0
23791,India,32.777,5794.0
24051,Indonesia,53.313,10484.0
24305,Iran,73.358,16253.0
24565,Iraq,69.921,13014.0
24836,Ireland,62.538,54278.0
25160,Israel,92.179,30954.0
25424,Italy,69.565,33118.0
26157,Jamaica,54.833,7024.0
26422,Japan,91.381,37031.0
26673,Jordan,90.256,11519.0
26933,Kazakhstan,57.191,23850.0
27192,Kenya,25.658,3046.0
27674,Kuwait,100.0,71354.0
27933,Kyrgyzstan,35.777,4754.0
28192,Laos,33.108,5559.0
28545,Latvia,67.98,21488.0
28878,Lebanon,88.106,12953.0
29137,Lesotho,26.908,2710.0
29597,Liberia,49.82,865.0
29856,Libya,79.27,8514.0
30374,Lithuania,67.23,23889.0
30776,Luxembourg,90.179,55972.0
31107,Madagascar,35.193,1360.0
31366,Malawi,16.313,1124.0
31625,Malaysia,74.213,22432.0
32106,Mali,39.991,1553.0
32365,Malta,94.414,28700.0
32958,Mauritania,51.089,3424.0
33217,Mauritius,41.0,18322.0
33629,Mexico,79.285,16096.0
34524,Moldova,42.49,5775.0
35005,Mongolia,68.23,12398.0
35264,Montenegro,65.806,17249.0
35661,Morocco,60.809,8001.0
35920,Mozambique,34.4,1103.0
36179,Myanmar,29.858,5021.0
36439,Namibia,46.9,9462.0
36920,Nepal,18.557,2455.0
37188,Netherlands,90.173,44869.0
38061,New Zealand,86.341,33696.0
38298,Nicaragua,57.895,4866.0
38557,Niger,16.247,913.0
38816,Nigeria,47.838,5578.0
39407,North Korea,61.277,1762.5167236328125
39666,North Macedonia,57.408,12371.0
40219,Norway,81.091,82713.0
40737,Oman,81.35,38738.0
40996,Pakistan,36.026,5030.0
41477,Palestine,75.368,5003.0
41699,Panama,66.696,20723.0
42217,Paraguay,60.75,8539.0
42477,Peru,77.357,11445.0
42930,Philippines,46.284,7047.0
43199,Poland,60.278,24177.0
43904,Portugal,63.514,24915.0
44414,Puerto Rico,93.624,35384.0
44531,Qatar,98.945,156029.0
44909,Romania,53.887,19320.0
45173,Russia,74.05,23691.0
45427,Rwanda,17.004,1693.0
46076,Saint Lucia,18.515,10185.0
47229,Sao Tome and Principe,70.174,3545.0
47488,Saudi Arabia,83.18,51681.0
47766,Senegal,45.862,2311.0
48025,Serbia,55.696,12765.0
48286,Seychelles,55.4,25690.0
48508,Sierra Leone,40.829,1563.0
48767,Singapore,100.0,65660.0
49089,Slovakia,53.889,24588.0
49348,Slovenia,53.781,26268.0
50120,South Africa,64.828,12246.0
50728,South Korea,81.634,35269.0
51584,Spain,79.602,31847.0
51889,Sri Lanka,18.256,10763.0
52802,Sweden,86.553,43746.0
53556,Switzerland,73.718,59307.0
53809,Syria,52.168,3049.0
54068,Taiwan,76.916,41668.0
54327,Tajikistan,26.742,3789.0
54586,Tanzania,31.617,2566.0
54845,Thailand,47.694,15020.0
55363,Togo,40.1,1370.0
55945,Trinidad and Tobago,53.319,30702.0
56185,Tunisia,68.056,11060.0
56450,Turkey,73.611,19836.0
56709,Turkmenistan,50.317,22675.0
57424,Uganda,22.06,1954.0
57688,Ukraine,69.061,8961.0
57942,United Arab Emirates,85.674,74746.0
58201,United Kingdom,82.626,36941.0
59014,United States,81.671,52591.0
59433,Uruguay,95.045,19244.0
59692,Uzbekistan,50.75,9720.0
60422,Venezuela,88.154,18802.0
60681,Vietnam,33.809,5763.0
61632,Yemen,34.777,2844.0
61990,Zambia,41.907,3478.0
62250,Zimbabwe,32.385,1560.0
